Locus Tag	Name	FDR	logFC	Fitness
SL1344_0474	priC	0.539477572	1.368821727	0
SL1344_0478	ybaB	0.015361025	-3.105794664	2
SL1344_0480	htpG	0.013605998	-3.335040756	2
SL1344_0484	gsk	0.3828305	1.060519084	0
SL1344_0485	ybaL	0.605913792	-0.636733433	0
SL1344_0487	ushA	0.395622047	1.293577516	0
SL1344_0488	ybaK	0.168898569	-1.451091092	0
SL1344_0491	copA	0.049363111	-5.028979067	2
SL1344_0493	ybbJ	0.311225893	1.269865415	0
SL1344_0495	ybbL	3.07e-21	-7.118531404	2
SL1344_0497	ybbN	0.257200195	1.403833134	0
SL1344_0498	ybbO	0.681005804	0.538867276	0
SL1344_0499	tesA	0.590517765	1.162305363	0
SL1344_0500	ybbA	0.124393645	2.12582266	0
SL1344_0501	ybbP	0.494957109	-0.80978057	0
SL1344_0502	SL1344_0502	5.99e-09	-7.28636691	2
SL1344_0510	gcl	9.1e-08	-15	2
SL1344_0511	gip	1.05e-09	-15	2
SL1344_0512	garRa	5.62e-09	-15	2
SL1344_0513	SL1344_0513	2.32e-06	-15	2
SL1344_0515	allP	9.16e-09	-15	2
SL1344_0516	allB	0.001996005	-1.418731531	2
SL1344_0517	ybbY	2.64e-08	-15	2
SL1344_0522	fdrA	0.235574179	1.579798258	0
SL1344_0523	ylbE	0.474791722	-0.879083636	0
SL1344_0525	arcC	0.885727534	0.624717977	0
SL1344_0526	purK	0.616237603	-0.321698707	0
SL1344_0536	fimA	9.88e-06	-15	2
SL1344_0537	fimI	1.39e-10	-15	2
SL1344_0539	fimD	0.000112192	-3.985910345	2
SL1344_0540	fimH	1.38e-06	-15	2
SL1344_0543	fimY	9.39e-11	-15	2
SL1344_0545	fimW	1.24e-09	-15	2
SL1344_0546	SL1344_0546	4.7e-07	-15	2
SL1344_0547	SL1344_0547	0.313088666	1.12168136	0
SL1344_0548	gtrBa	5.45e-06	-2.368111568	2
SL1344_0549	gtrAa	0.093117724	-1.699226756	0
SL1344_0553	SL1344_0553	1.62e-19	-15	2
SL1344_0554	ykgB	0.855746331	-0.256389563	0
SL1344_0557	ybdG	1.74e-06	-4.568137878	2
SL1344_0558	apeE	2.95e-13	-5.087649756	2
SL1344_0559	SL1344_0559	0.299216565	-1.175135902	0
SL1344_0561	SL1344_0561	0.163812087	2.111319603	0
SL1344_0565	SL1344_0565	0.745879584	0.445286088	0
SL1344_0571	ybdK	0.817812793	-0.807484473	0
SL1344_0574	fes	0.622894813	0.613127341	0
SL1344_0576	entF	0.369974198	1.909815783	0
SL1344_0577	fepE	1.35e-05	-6.591221491	2
SL1344_0578	fepC	4.78e-19	-5.601609225	2
SL1344_0579	fepG	2.36e-20	-5.241894898	2
SL1344_0580	fepD	0.000115197	-15	2
SL1344_0581	ybdA	0.741560697	0.631741504	0
SL1344_0583	entC	0.166971679	1.51453299	0
SL1344_0588	cstAa	0.39582539	1.059248116	0
SL1344_0591	ybdL	0.163219634	1.809725625	0
SL1344_0593	ybdN	7.36e-09	-15	2
SL1344_0594	ybdO	3.19e-07	-5.228651412	2
SL1344_0596	ahpC	0.447607258	-0.888857596	0
SL1344_0597	ahpF	0.205767462	1.375533864	0
SL1344_0600	SL1344_0600	0.927600946	0.139897845	0
SL1344_0601	SL1344_0601	0.323735669	1.383432963	0
SL1344_0602	ybdQ	0.977441603	-0.059281827	0
SL1344_0603	ybdR	0.26657127	1.427633456	0
SL1344_0606	citT	0.789036764	-0.369704757	0
SL1344_0607	citG	0.808765199	0.322164816	0
SL1344_0612	citC	6.08e-16	-4.829927488	2
SL1344_0613	citA	0.978219703	-0.199514801	0
SL1344_0614	citB	0.001267709	-3.259933502	2
SL1344_0615	dcuC	1.63e-05	-5.481838032	2
SL1344_0621	lipA	3.16e-22	-6.600140183	2
SL1344_0622	ybeF	0.672215953	0.724077716	0
SL1344_0623	lipB	2.58e-09	-15	2
SL1344_0625	dacA	0.130590001	-1.976511647	0
SL1344_0632	cobD	0.454374377	1.200164971	0
SL1344_0638	SL1344_0638	0.001011802	-3.395301281	2
SL1344_0639	SL1344_0639	0.000216891	-5.180756722	2
SL1344_0640	SL1344_0640	0.034503241	-2.645790434	2
SL1344_0642	ybeQ	4.08e-09	-15	2
SL1344_0643	ybeR	0.236883393	-1.23728516	0
SL1344_0644	ybeS	0.002543187	-3.520832163	2
SL1344_0647	ybeV	0.318824406	-1.371371264	0
SL1344_0648	hscC	0.134024997	-1.761585122	0
SL1344_0649	SL1344_0649	1.3e-06	-15	2
SL1344_0650	rihA	0.511555124	-0.904160803	0
SL1344_0651	gltL	0.515821185	1.221511836	0
SL1344_0656	ybeX	0.744199587	-0.07732941	0
SL1344_0658	phoL	2.51e-05	-5.690757165	2
SL1344_0665	nagA	3.43e-27	-6.919593751	2
SL1344_0666	nagB	0.006452587	-3.227248694	2
SL1344_0667	nagE	0.069631463	1.797752489	0
SL1344_0669	ybfM	0.028069035	-2.752705638	2
SL1344_0672	SL1344_0672	0.201573914	-1.308439021	0
SL1344_0673	SL1344_0673	0.404992133	1.49984809	0
SL1344_0674	SL1344_0674	0.504043376	0.976982491	0
SL1344_0676	fldA	0.627768578	1.029720089	0
SL1344_0678	ybfF	0.457140874	0.872354615	0
SL1344_0679	seqA	0.000859249	-15	2
SL1344_0680	pgm	9.23e-06	-15	2
SL1344_0682	potE	0.544899595	0.931337232	0
SL1344_0683	speF	0.463838723	-0.889254303	0
SL1344_0684	kdpE	2.96e-06	-15	2
SL1344_0685	kdpD	0.293691214	1.159143452	0
SL1344_0686	kdpC	0.446738708	0.876898756	0
SL1344_0687	kdpB	0.088168267	2.017246725	0
SL1344_0688A	kdpF	0.33694654	1.138930531	0
SL1344_0691	ybgH	0.459708759	1.377976086	0
SL1344_0693	ybgJ	0.333876362	2.704626338	0
SL1344_0694	ybgK	0.661802732	-0.54608448	0
SL1344_0697	fimB	0.033883578	-2.259025061	2
SL1344_0699	SL1344_0699	0.000130309	-4.159733471	2
SL1344_0705	SL1344_0705	0.029441842	-15	2
SL1344_0712	gltA	2.64e-08	-6.328187085	2
SL1344_0713	SL1344_0713	0.714998683	0.66828422	0
SL1344_0716	sdhA	0.001991603	-4.238432433	2
SL1344_0717	sdhB	0.053420616	-2.783866569	0
SL1344_0720	sucC	0.000309296	-1.995660671	2
SL1344_0721	sucD	0.096308495	-1.919444115	0
SL1344_0722	cydA	3.34e-05	-15	2
SL1344_0725	ybgE	0.39729756	1.150388926	0
SL1344_0728	tolR	0.473274202	1.12816733	0
SL1344_0729	tolA	0.018059249	-15	2
SL1344_0730	tolB	0.042200963	-15	2
SL1344_0731	pal	1.38e-09	-15	2
SL1344_0732	ybgF	0.376446175	1.33465928	0
SL1344_0733	nadA	0.270205797	1.251128852	0
SL1344_0734	pnuC	0.00488676	-2.796805625	2
SL1344_0737	aroG	0.961915846	-0.079851397	0
SL1344_0738	SL1344_0738	6.91e-07	-15	2
SL1344_0739	SL1344_0739	6.63e-06	-15	2
SL1344_0747	SL1344_0747	0.591650679	0.65364393	0
SL1344_0748	SL1344_0748	0.665550167	0.79977928	0
SL1344_0749	gpmA	0.346341768	-1.044421813	0
SL1344_0750	galM	0.470440324	-0.864316402	0
SL1344_0751	galK	0.772399691	-0.135409218	0
SL1344_0752	galT	0.470982785	-0.960744331	0
SL1344_0753	galE	0.003009737	-15	2
SL1344_0755	modF	0.342431904	-1.051184861	0
SL1344_0756	modE	0.753511713	-0.419533881	0
SL1344_0758	modA	0.115402416	2.229447893	0
SL1344_0762	ybhE	0.244730463	-1.501643144	0
SL1344_0763	ybhC	0.095503278	2.262093019	0
SL1344_0764	hutI	0.641180796	0.577282836	0
SL1344_0765	hutG	0.148888765	1.859989621	0
SL1344_0766	hutC	0.463275491	0.84916259	0
SL1344_0767	hutU	0.267780518	1.189285469	0
SL1344_0768	hutH	0.059491126	2.592585783	0
SL1344_0770	bioA	0.70980922	0.471260755	0
SL1344_0771	bioB	0.2556301	-1.230026586	0
SL1344_0774	bioDa	0.496075419	-0.876975974	0
SL1344_0775	uvrB	0.070837715	2.806712505	0
SL1344_0776	slrP	1.19e-07	-15	2
SL1344_0777	ybhK	1.13e-07	-15	2
SL1344_0778	moaA	1.95e-06	-15	2
SL1344_0782	moaE	0.893766699	0.148988996	0
SL1344_0783	ybhL	0.559605426	0.636050486	0
SL1344_0786	SL1344_0786	1.56e-11	-15	2
SL1344_0787	ybhN	0.203305407	1.535285555	0
SL1344_0790	ybhQ	0.699303893	0.609529504	0
SL1344_0792	ybhS	0.377659738	1.056750807	0
SL1344_0793	ybhF	0.26579912	1.239925927	0
SL1344_0795	ybiH	0.439646476	1.213710422	0
SL1344_0796	rhlE	0.142998632	1.470122697	0
SL1344_0797	dinG	0.294673806	1.271817563	0
SL1344_0798	ybiB	0.413531854	0.976897499	0
SL1344_0801	ybiN	0.204985191	1.341890849	0
SL1344_0802	ybiO	0.6960583	-0.541791782	0
SL1344_0803	glnQ	0.508182802	1.111589298	0
SL1344_0805	glnH	0.186114553	2.010279315	0
SL1344_0806	dps	2.09e-09	-15	2
SL1344_0807	ybiF	0.280324958	1.216065463	0
SL1344_0808	ompX	0.547040576	1.488034103	0
SL1344_0809	ybiP	0.073941655	3.115917847	0
SL1344_0813	ybiT	0.427453512	1.211560701	0
SL1344_0815	ybiV(2)	0.002642911	-3.064602977	2
SL1344_0817	ybiU	0.808765199	0.255288231	0
