Locus Tag	Name	Anaerobic growth	Anaerobic shock
STnc1060		2229.6	1866.2
SL1344_0407	tsx	87.7	610.2
SL1344_0408	yajI	11.4	10
SL1344_0409	nrdR	121.8	157.9
SL1344_0410	ribD	61.8	60.4
SL1344_0411	ribH	109.4	143.3
SL1344_0412	nusB	284.7	324.9
SL1344_0413	thiL	23	20.7
SL1344_0414	pgpA	28.3	30.7
SL1344_0415	yajO	23.7	31.5
SL1344_0416	dxs	36.1	37.2
SL1344_0417	ispA	58.7	66.3
SL1344_0418	xseB	84.9	107.5
SL1344_0419	thiI	15.1	18
SL1344_0420	phnV	6.8	7.2
SL1344_0421	phnU	1.7	2.2
SL1344_0422	phnT	5.2	7.3
SL1344_0423	phnS	6.5	8.2
SL1344_0424	phnR	7.8	10.5
SL1344_0425	phnW	1.5	2.3
SL1344_0426	phnX	0.6	2.3
SL1344_0427	thiJ	38.2	57.2
SL1344_0428	apbA	34.4	37.1
SL1344_0429	yajQ	88.1	193.1
SL1344_0430	yajR	17.4	20.8
SL1344_0430A		6.8	11.2
SL1344_0431		2.9	4.6
SL1344_0432		5.7	9.9
SL1344_0433	cyoE	31.3	43.9
SL1344_0434	cyoD	30.7	49.7
SL1344_0435	cyoC	17.6	17.1
SL1344_0436	cyoB	13.8	21.4
SL1344_0437	cyoA	20.3	37.3
SL1344_0438	ampG	8.4	11.5
SL1344_0439	yajG	29.1	42.2
SL1344_0440	bolA	153.7	212.7
SL1344_0441	tig	92.8	115
SL1344_0442	clpP	147.4	218.4
SL1344_0443	clpX	286.4	318.7
SraA	SraA	14.7	28
SL1344_0444	lon	84.5	118.8
SL1344_0445	hupB	2030.5	2672
SL1344_0446	cypD	52.6	56.4
SL1344_0447	comE1	6.3	6.5
SL1344_0448	ybaW	6.3	5
SL1344_0449	ybaX	35.3	41.2
SL1344_0450	ybaE	2.2	12.2
SL1344_0451	cof	15.6	14.6
STnc930		145.2	154.7
SL1344_0452		8.3	11.5
SL1344_0453	ybaO	22.6	34.5
SL1344_0454	mdlA	11.8	12.2
SL1344_0455	mdlB	12.3	13.8
SL1344_0456	glnK	0.8	0.8
SL1344_0457	amtB	5.7	12.8
SL1344_0458	tesB	18.5	21.9
SL1344_0459	ybaY	197.5	44.8
SL1344_0460	ybaZ	96	156.9
4.5S	4.5S	38602.4	49822.9
SL1344_0461	ylaB	25.3	38.7
SL1344_0462	rpmE2	14.6	37.2
SL1344_0463	rpmJa	56.3	112.1
SL1344_0464	ylaC	16.2	13.9
SL1344_0465	maa	72.8	129.8
SL1344_0466	hha	138.6	318.7
SL1344_0467	ybaJ	175.2	399.2
SL1344_0468	acrB	58.9	42.3
SL1344_0469	acrA	55.8	52.8
