Locus Tag	gene	24hr_r1	24hr_r2	24hr_r3	24hr (Avg)
SL1344_0305	fadE	28.23	28.06	27.09	27.79
SL1344_0306	gmhA	48.24	58.39	40.13	48.92
SL1344_0307	yafJ	22.4	22.88	20.16	21.82
SL1344_0308	yafK	19.79	17.88	15.8	17.82
SL1344_0309	dbh	88.9	78.83	95.28	87.67
SL1344_0310		73.12	68.21	84.08	75.14
SL1344_0311	prfH	165.14	160.51	168.63	164.76
SL1344_0312	pepD	26.29	27.06	27.05	26.8
SL1344_0313	gpt	62.11	65.44	61.77	63.11
SL1344_0314	frsA	17.43	23.22	22.74	21.13
SL1344_0315	crl	53.38	46.46	55.5	51.78
SL1344_0316	phoE	6.43	7.96	11.83	8.74
SL1344_0317	proB	38.56	37.21	36.93	37.57
SL1344_0318	proA	22.31	20.31	24.29	22.3
tRNA_4	tRNA_4	2065.48	2073.88	2145.31	2094.89
SL1344_0319		0	0	0.55	0.18
SL1344_0320	dhaF	2.76	4.54	3.96	3.75
SL1344_0322		25.29	30.09	30.95	28.78
SL1344_0323		2.41	2.32	3.23	2.65
SL1344_0324	leuC2	4.64	3.56	4.04	4.08
SL1344_0325	leuD2	3.6	6.47	4.52	4.86
SL1344_0326		3.85	4.31	4.73	4.29
SL1344_0327		7.4	4.73	4.54	5.55
SL1344_0328		11.97	15.67	14.85	14.16
SL1344_0329		4.14	6.95	6.24	5.78
SL1344_0330		1.42	2.04	1.42	1.62
SL1344_0331	stbE	7.8	7.48	6.97	7.42
SL1344_0332	stbD	4.25	2.65	4.84	3.91
SL1344_0333	stbC	4.17	2.73	4.63	3.84
SL1344_0334	stbB	1.85	0.35	0.99	1.07
SL1344_0335	stbA	1.58	1.51	2.81	1.97
SL1344_0336		8.11	18.73	16.05	14.3
SL1344_0337		22.53	17.28	18.86	19.56
SL1344_0338		13.78	12.18	12.7	12.89
SL1344_0339		32.6	40.7	33.76	35.69
SL1344_0340		17.89	23.79	16.62	19.43
SL1344_0341		8.06	10.31	13.68	10.68
SL1344_0342		7.91	15.16	16.18	13.09
SL1344_0343		33.95	25.31	40.41	33.23
SL1344_0344		36.87	31.59	21.01	29.83
SL1344_0345		3.09	2.04	2.85	2.66
SL1344_0346		1.78	1.36	1.85	1.66
SL1344_0347		0.56	0.8	1.12	0.83
SL1344_0348		5.05	2.36	3.05	3.49
SL1344_0349		2.43	4.66	6.1	4.39
SL1344_0350		8.71	9.74	7.78	8.74
SL1344_0351		4.5	5.82	4.21	4.84
SL1344_0352	mod	12.66	12.41	11.56	12.21
SL1344_0353	res	9.94	11.98	12.17	11.36
SL1344_0354		11.15	16.04	20.54	15.91
SL1344_0355		7.63	7.7	9.41	8.25
SL1344_0356		9.76	11.76	15.31	12.28
SL1344_0357		12.57	4.82	9.26	8.89
SL1344_0358		34.23	38.46	52.22	41.64
SL1344_0359	foxA	15.1	16.27	16.82	16.06
SL1344_0360	yahN	8.91	5.55	9.55	8.01
SL1344_0361	yahO	16.39	20.62	18.52	18.51
SL1344_0362	prpR	2.25	3.49	3.25	3
SL1344_0363	prpB	2.86	2.74	2.98	2.86
SL1344_0364	prpC	1.2	1.15	1.13	1.16
SL1344_0365	prpD	1.55	3.35	2.08	2.33
SL1344_0366	prpE	2.24	2.29	3.2	2.58
SL1344_0367	hemB	31.23	31.05	33.89	32.06
SL1344_0368	yaiU	38.95	40.1	36.23	38.43
SL1344_0369	yaiV	16.28	23.4	18.77	19.48
SL1344_0370	ampH	10.97	9.8	12.52	11.09
SL1344_0371	sbmA	15.87	16.66	15.35	15.96
SL1344_0372	yaiW	13.9	15.8	13.1	14.27
SL1344_0373	yaiY	33.84	32.44	51.44	39.24
SL1344_0374	yaiZ	60.26	61.54	54.39	58.73
SL1344_0375	ddlA	32.7	33.32	26.2	30.74
SL1344_0376		4.35	4.92	7.41	5.56
SL1344_0377		4.88	3.57	4.2	4.22
SL1344_0378	yaiB	37.06	62.94	51.76	50.58
SL1344_0379	psiF	6.16	9.28	13.56	9.67
SL1344_0380	adrA	8.11	8.01	9.67	8.6
SL1344_0381	proC	45.61	40.39	47.56	44.52
SL1344_0382	yaiI	10.52	10.68	20.31	13.84
SL1344_0383	aroL	42.38	38.15	53.98	44.84
SL1344_0384	yaiA	162.21	113.1	116.52	130.61
SL1344_0385	aroM	42.85	37.09	41.23	40.39
SL1344_0386	yaiE	53.55	44.69	60.43	52.89
SL1344_0387	rdgC	32.77	24.9	29.81	29.16
SL1344_0388	yajF	9.31	10.41	6.65	8.79
SL1344_0389	araJ	5.05	7.14	8.21	6.8
SL1344_0390	sbcC	4.75	3.1	3.78	3.88
SL1344_0391	sbcD	6.09	4.27	7.53	5.96
SL1344_0392	phoB	60.91	55.26	66.79	60.99
SL1344_0393	phoR	23.05	22.52	29.42	25
SL1344_0394	brnQ	70.89	74.52	103.81	83.07
SL1344_0395	proY	26.93	22.47	26.43	25.28
SL1344_0396	malZ	9.77	8.32	10.38	9.49
SL1344_0397	tsaA	335.93	350.75	356.52	347.73
SL1344_0398	yajB	4.36	5.11	6.49	5.32
SL1344_0399	queA	24.35	25.63	31.37	27.12
SL1344_0400	tgt	65.23	66.61	65.6	65.81
SL1344_0401	yajC	179	191.94	157.92	176.29
SL1344_0402	secD	62.52	68.42	63.1	64.68
SL1344_0403	secF	102.39	112.62	94.98	103.33
SL1344_0404		17.75	23.67	20.67	20.7
SL1344_0405		13.02	9.36	10.08	10.82
SL1344_0406	yajD	23.54	20.23	27.72	23.83
STnc1060	STnc1060	818.97	581.57	786.31	728.95
SL1344_0407	tsx	8.49	10.01	10.49	9.66
SL1344_0408	yajI	10.97	3.01	8.4	7.46
SL1344_0409	nrdR	97.86	113.66	98.29	103.27
SL1344_0410	ribD	51.84	49.45	46.68	49.32
SL1344_0411	ribH	206.75	179.25	216.29	200.76
SL1344_0412	nusB	436.26	444.01	403.75	428.01
SL1344_0413	thiL	61.69	55.83	56.37	57.96
SL1344_0414	pgpA	55.78	56.1	73.97	61.95
SL1344_0415	yajO	15.04	10.81	10.65	12.17
SL1344_0416	dxs	19.66	15.66	17.22	17.52
SL1344_0417	ispA	86.47	96.41	63.99	82.29
SL1344_0418	xseB	31.42	31.24	50.66	37.77
SL1344_0419	thiI	30.73	22.38	26.7	26.6
SL1344_0420	phnV	6.71	4.07	8.28	6.35
SL1344_0421	phnU	2.95	2.2	2.41	2.52
SL1344_0422	phnT	4.83	5.11	6.12	5.35
SL1344_0423	phnS	6.56	4	4.79	5.12
SL1344_0424	phnR	9.4	7.51	10.49	9.13
SL1344_0425	phnW	3.06	2.2	2.56	2.61
SL1344_0426	phnX	2.43	0.67	3.02	2.04
SL1344_0427	thiJ	8.12	8.7	12.15	9.65
SL1344_0428	apbA	12.68	13.63	9.73	12.01
SL1344_0429	yajQ	64.19	73.74	54.47	64.13
SL1344_0430	yajR	7.43	8.12	11.48	9.01
SL1344_0430A		14.75	12.72	12.84	13.44
SL1344_0431		23.11	22.69	21.97	22.59
SL1344_0432		25.9	26.1	37.04	29.68
SL1344_0433	cyoE	24.05	36.71	26.06	28.94
SL1344_0434	cyoD	25.68	37.75	25.8	29.74
SL1344_0435	cyoC	20.24	22.55	24.9	22.56
SL1344_0436	cyoB	23.62	29.02	27.75	26.8
SL1344_0437	cyoA	69.82	60.73	76.54	69.03
SL1344_0438	ampG	2.86	2.75	2.17	2.59
SL1344_0439	yajG	8.91	8.12	9.55	8.86
SL1344_0440	bolA	35.54	51.11	49.98	45.54
SL1344_0441	tig	261.69	270.85	189.62	240.72
SL1344_0442	clpP	97.65	93.62	105.05	98.77
SL1344_0443	clpX	272.79	286.38	260.42	273.19
SraA	SraA	10.24	9.82	6.86	8.97
SL1344_0444	lon	82.56	82.47	76.51	80.51
SL1344_0445	hupB	396.6	366.31	380.66	381.19
SL1344_0446	cypD	100.41	103.04	92.84	98.76
SL1344_0447	comE1	3.77	2.17	6.05	3.99
SL1344_0448	ybaW	4.25	3.39	6.16	4.6
SL1344_0449	ybaX	36.88	44.29	34.19	38.45
SL1344_0450	ybaE	2.49	2.86	3.44	2.93
SL1344_0451	cof	7.58	6.27	8.07	7.31
STnc930	STnc930	3	5.75	10.03	6.26
SL1344_0452		9.88	10.24	10.19	10.1
SL1344_0453	ybaO	120.53	126.17	119.42	122.04
