Locus Tag	Name	MEP	Cold shock (15C)	pH3 shock	pH5.8 shock	NaCl shock	Bile shock	LowFe2+ shock	Anaerobic shock
SL1344_0789	ybhP	1.7	1.1	1.1	0.5	26	5.7	4.1	5.1
SL1344_0790	ybhQ	95.7	169.5	202.7	78	106.6	231.8	75.2	309.4
SL1344_0791	ybhR	17.6	17.4	12.3	9.5	65.6	38.8	26.7	34
SL1344_0792	ybhS	12.4	15.8	7.5	6	69.5	49.2	26.4	32.2
SL1344_0793	ybhF	14.9	15.9	3.7	5.8	59.9	53.2	27.8	27.5
SL1344_0794		12.7	17.5	10.8	7.2	107.3	44.2	24.6	43.1
SL1344_0795	ybiH	18.5	33.8	18.4	8.4	327.4	73.9	31.6	62
SL1344_0796	rhlE	22.2	37.1	7.4	24.4	9.7	12.4	15.1	2.7
SL1344_0797	dinG	26.1	29.8	18.8	15.1	18.7	27.7	18.1	17
SL1344_0798	ybiB	24.5	27.6	16.5	15.4	13.5	25.1	21.4	27.8
STnc980		55.4	30.4	35.4	138.7	98.8	66.8	79.7	28.2
