Locus Tag	Name	EEP	MEP	LEP	ESP	LSP
SL1344_0254	yafE	12.1	18.5	9.2	7	1.3
SL1344_0255	dniR	267.8	214.6	283.1	190	15.9
SL1344_0256	gloB	19.8	13.6	14.1	13.9	1.5
SL1344_0257	yafS	18.6	20	19	17.4	9.5
SL1344_0258	rnhA	69.5	69	52.9	23.1	2.2
SL1344_0259	dnaQ	59.7	52.4	40.8	40.3	13.5
SL1344_0260	sciA	2	2.1	2.2	1.6	0.5
SL1344_0261	sciB	1.4	1.5	1.5	1.2	0.1
SL1344_0262	sciC	2.4	3.2	3.6	2	0.4
SL1344_0263	sciD	2.8	3.9	3.2	3.2	0.5
SL1344_0264	sciE	3.3	3.2	2.5	2.2	0.1
SL1344_0265	sciF	0.5	0.6	1.2	1	0.4
SL1344_0266	sciG	3.8	2	3.2	1.8	0.1
SL1344_0267	sciH	2.8	1	2.9	1.3	0.3
SL1344_0268	sciI	1.4	1.5	1.5	1	0.2
SL1344_0270	sciJ	3.1	2.5	5.9	3.6	2.4
SL1344_0271	sciK	1.9	0.7	0.8	0.4	0.1
SL1344_0272		10.1	6.5	5	3.6	1.1
SL1344_0273		2.4	2.3	3.3	1	0.9
SL1344_0274	sciK1	2.8	0.8	1.4	1.2	0.2
SL1344_0275	sciN	1.1	0.8	1.1	0.5	0.1
SL1344_0276	sciO	1.3	0.7	1.1	0.7	0.2
SL1344_0277	sciP	1.4	1.4	1.6	0.7	0
SL1344_0278	sciQ	3.8	1.6	2.8	1.4	1.6
SL1344_0279	sciR	2.5	1.1	3.4	2.1	1.7
SL1344_0280	sciS	2.3	2.5	3.5	1.7	0.3
SL1344_0281	sciT	1.5	1.2	1.2	1.3	0.1
SL1344_0282	sciU	1.5	2.3	1.2	2.4	0.5
SL1344_0283	sciV	4.1	7.1	5.2	3.5	1.4
SL1344_0284	vgrS	2	1.2	1.6	1.2	0.5
SL1344_0285	sciW	1	0.5	0.7	0.3	0
SL1344_0286		9.8	9.5	15.4	10.2	7.4
SL1344_0286A		98.4	85.1	142.6	115.3	66.2
SL1344_0286B		37.1	34.9	47.7	39.1	35.2
SL1344_0288	sciX	27.7	26.5	33.4	26	7.8
SL1344_0289	sciY	18.4	4.9	5.8	2.2	0.7
IsrA	IsrA	0	0.2	0.7	0.3	0.1
SL1344_0291		11.9	8.2	9.8	6.8	3.6
SL1344_0292		0.5	1.3	1.9	0.9	0.6
SL1344_0293		5.4	5.8	10.4	7	2.5
SL1344_0294		0.7	0.1	0.4	0.2	0.1
SL1344_0295	safA	14	7.2	8.4	13.5	7.5
SL1344_0296	safB	4.7	2.4	5.1	4.9	1.8
SL1344_0297	safC	5.4	5.3	6.2	5.8	2.9
SL1344_0298	safD	7.5	8.4	7.2	4.5	0.3
SL1344_0299	ybeJ	2.8	2	3.8	3.5	1.7
SL1344_0300	sinR	24.7	20.6	79.3	98.3	52.1
SL1344_0301		4.2	7.3	22.1	17.3	2
SL1344_0302	pagN	19.5	17.3	51.3	83.5	40.8
SL1344_0303	sciZ	14.2	19.3	15.5	10.4	2.8
STnc1030		7.5	6	7.2	8.5	2.1
STnc1040		9.5	5.7	8.1	6.9	1.1
SL1344_0304	yafV	13.7	18.1	18.5	19.5	5
SL1344_0305	fadE	6.2	6.9	29.8	16.6	9.7
SL1344_0306	gmhA	107.9	127.1	94	66.5	8.2
SL1344_0307	yafJ	57.1	57.2	48.3	30.4	1.6
SL1344_0308	yafK	93.4	68.3	106.8	46.9	6.5
SL1344_0309	dbh	23.6	25.8	20.4	10.1	6.9
SL1344_0310		11.1	9.9	13.5	7.8	1.3
SL1344_0311	prfH	7.5	4.9	7.6	7	0.9
SL1344_0312	pepD	84.2	136.5	94.6	67.5	8
SL1344_0313	gpt	257.3	284.6	160.9	77.3	8.3
SL1344_0314	frsA	53.7	57.9	43.1	37	10.5
SL1344_0315	crl	269.4	389	295.8	173	18.3
SL1344_0316	phoE	4.1	5.1	2.9	3.4	2.7
SL1344_0317	proB	46.5	47.9	44.7	30.1	2
SL1344_0318	proA	49.2	52.7	40.1	29	1.7
SL1344_0319		0	0.6	0.6	0.5	0.4
SL1344_0320	dhaF	1.5	1.1	1	0.9	0.2
SL1344_0322		21.7	87.8	278.5	381	25.2
SL1344_0323		1.7	0.7	1.8	1.6	2.1
SL1344_0324	leuC2	1.5	1	1.6	1.7	0.7
SL1344_0325	leuD2	0.7	1.4	1.6	0.8	0.2
SL1344_0326		2.4	3	4.8	3.5	1.9
SL1344_0327		5.7	7.2	5.5	4.7	2.4
STnc3270		51.6	52.3	32.9	39.3	29
SL1344_0328		6.3	8.2	8.1	7.5	2.7
SL1344_0329		7.3	6.5	11.1	13.5	13.8
SL1344_0330		5.4	3.4	6.6	4.1	1.3
SL1344_0331	stbE	9.1	5.1	6.6	4.2	6.5
SL1344_0332	stbD	5.8	5.5	4.9	2.6	0.9
