Locus Tag	Name	FDR	logFC	Fitness
SL1344_0768	hutH	1	0.000129069	0
SL1344_0770	bioA	0.022897389	1.651317395	1
SL1344_0771	bioB	0.003306803	2.216505377	1
SL1344_0775	uvrB	0.040195227	1.562455527	1
SL1344_0776	slrP	1.38e-68	-15	2
SL1344_0777	ybhK	1.11e-20	-5.700914109	2
SL1344_0778	moaA	0.005169795	2.103268968	1
SL1344_0782	moaE	0.001386175	1.596980862	1
SL1344_0783	ybhL	0.012682093	1.812496609	1
SL1344_0786	SL1344_0786	2.06e-71	-15	2
SL1344_0787	ybhN	0.018654632	1.451073997	1
SL1344_0789	ybhP	0.098246162	1.215309301	0
SL1344_0790	ybhQ	0.628180233	-0.329667146	0
SL1344_0792	ybhS	2.29e-09	-3.080267958	2
SL1344_0793	ybhF	0.077046566	-1.218741133	0
SL1344_0795	ybiH	0.085335139	1.164766283	0
SL1344_0796	rhlE	0.011402067	1.733670628	1
SL1344_0798	ybiB	0.001070987	2.60567895	1
SL1344_0801	ybiN	0.089420853	1.244557358	0
SL1344_0802	ybiO	0.15676934	0.63601205	0
SL1344_0803	glnQ	0.073267604	1.033870306	0
SL1344_0805	glnH	0.027634416	1.651084313	1
SL1344_0806	dps	8.84e-72	-15	2
SL1344_0807	ybiF	0.139805103	1.100497283	0
SL1344_0808	ompX	0.186186099	1.036996055	0
SL1344_0809	ybiP	9.17e-06	-3.115497001	2
SL1344_0811	ybiR	0.123138368	1.146009728	0
SL1344_0813	ybiT	0.222410061	1.388622708	0
SL1344_0815	ybiV(2)	0.188527554	-0.917424401	0
SL1344_0817	ybiU	1.04e-07	-2.679282821	2
SL1344_0818	ybiV(1)	0.058533124	1.561983132	0
SL1344_0819	pflF	0.012229655	1.810757704	1
SL1344_0821	moeB	0.608013161	0.376560425	0
SL1344_0822	moeA	0.713217526	0.297942092	0
SL1344_0823	ybiK	0.023425995	1.669958153	1
SL1344_0826	yliC	0.443788139	0.448159851	0
SL1344_0833	SL1344_0833	1.38e-33	-15	2
SL1344_0834	SL1344_0834	1.14e-31	-15	2
SL1344_0835	SL1344_0835	2.22e-34	-15	2
SL1344_0836	SL1344_0836	4.87e-34	-15	2
SL1344_0837	yliI	9.26e-14	-3.933683072	2
SL1344_0838	yliJ	0.093879988	1.234153656	0
SL1344_0839	dacC	0.003079135	2.363578137	1
SL1344_0842	mdfA	0.001048412	2.754956488	1
SL1344_0843	SL1344_0843	0.346918265	-0.605621433	0
SL1344_0845	SL1344_0845	0.004219252	2.23035284	1
SL1344_0846	SL1344_0846	2.92e-28	-7.390861453	2
SL1344_0848	grxA	0.032812197	1.790490941	1
SL1344_0850	mdaA	0.155899427	-0.755579819	0
SL1344_0852	rimK	0.359997126	-0.5247596	0
SL1344_0855	potG	0.228029824	0.901500496	0
SL1344_0856	potH	0.742133151	0.243151586	0
