Locus Tag	Name	InSPI2	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)
SL1344_0406	yajD	78.9	52.4	53	61.3
STnc1060		2324.2	4375.5	2508.2	4103.7
SL1344_0407	tsx	29.3	13	10.1	7.8
SL1344_0408	yajI	6.1	10.3	2	5.7
SL1344_0409	nrdR	307.6	401.4	164.7	97.9
SL1344_0410	ribD	109.6	152.4	20.2	37.8
SL1344_0411	ribH	265.9	312	37.2	78.5
SL1344_0412	nusB	368.2	344.8	83.7	154.6
SL1344_0413	thiL	47	41	4.2	24.4
SL1344_0414	pgpA	42.6	39.6	6.2	23.6
SL1344_0415	yajO	17.7	35.9	9.2	18.9
SL1344_0416	dxs	37.8	28.3	8.6	29
SL1344_0417	ispA	59.2	43.7	18.8	35.7
SL1344_0418	xseB	92.5	106.7	94.9	85.5
SL1344_0419	thiI	29.4	15.1	5.5	11.8
SL1344_0420	phnV	5.1	17.2	0.9	5.3
SL1344_0421	phnU	1.9	13.5	0.6	3
SL1344_0422	phnT	2.8	18.7	3.4	3
SL1344_0423	phnS	4.6	22.7	6.3	4.4
SL1344_0424	phnR	7.8	11.1	5.3	9.2
SL1344_0425	phnW	3.3	6	0.8	1.4
SL1344_0426	phnX	2.1	3.5	0.3	1.4
SL1344_0427	thiJ	31.2	50.1	16.3	28.7
SL1344_0428	apbA	28.6	50.3	38.7	31.1
SL1344_0429	yajQ	174.3	155.8	34.5	81.9
SL1344_0430	yajR	29.7	34.4	4.3	17.1
SL1344_0430A		6.4	12.5	5.7	17.9
SL1344_0431		7.4	10.3	6.1	15.5
SL1344_0432		8.7	7.6	4	20
SL1344_0433	cyoE	221.8	100.8	67.5	130.7
SL1344_0434	cyoD	251.4	119.5	110.1	143.5
SL1344_0435	cyoC	165.5	79.8	55.1	90.8
SL1344_0436	cyoB	170.2	62.4	41.1	68.6
SL1344_0437	cyoA	275.3	127.2	62.2	126.7
SL1344_0438	ampG	15.3	9.8	1.2	5.3
SL1344_0439	yajG	54.8	39.6	6.6	26
SL1344_0440	bolA	228.5	365.2	305.3	513.5
SL1344_0441	tig	415.4	93.8	52.4	81.2
SL1344_0442	clpP	169.8	153.2	114.5	163.2
SL1344_0443	clpX	318.3	346.1	152.8	343.3
SraA	SraA	24.8	26.3	11.9	26.3
SL1344_0444	lon	204.3	132.3	72.5	119.3
SL1344_0445	hupB	1969.5	905.6	727.5	648.8
SL1344_0446	cypD	92	46.2	15	47.7
SL1344_0447	comE1	4.2	2.2	3.4	2.5
SL1344_0448	ybaW	13.9	25.1	2.3	7.2
SL1344_0449	ybaX	48.5	28.7	13	33.9
SL1344_0450	ybaE	3.2	2.8	3.2	2.9
SL1344_0451	cof	5.9	6.3	83.2	5
STnc930		112.7	96	316.4	148.8
SL1344_0452		6.2	9.4	7.1	7.8
SL1344_0453	ybaO	25.2	37.1	40.6	59.7
SL1344_0454	mdlA	12.6	14.5	4.3	23.1
SL1344_0455	mdlB	11.7	11.6	2.4	20
SL1344_0456	glnK	294.4	3.6	263.3	39.5
SL1344_0457	amtB	232.2	7.1	217	63.7
SL1344_0458	tesB	24.8	47.2	15.4	22
SL1344_0459	ybaY	53.3	169.2	13.2	56.1
